"Abmeldepha
se";"Modulnumm
er BWL";"Modulnumm
er VWL";"Modulnumm
er WI";"Modulnumm
er PuW,
WuR";"Modulnumm
er Ökön.";Modulbezeichnungen;Prüfung;Prüfer:in;2. Prüfer:in;Dauer (Min.);Klausurtyp;"Klausur
(JA/NEIN)";"Weitere
Modulleistung
(Freitext)";"Anmeldung
vorgezogen
(JA/NEIN)";"Termin
vorgezogen
(JA/NEIN)";Tag;Datum;Beginn;Ende
"Tag vor der
Prüfung";"BWL 10,
BWL 09";"WPB 16,
BWL 09";"BWL 10,
VM BWL";;;"Marketing Analytics,
Quantitatives Marketing";"Marketing Analytics 2
(Marketing Operations)";Prof. Krafft;Prof. Hennig-Thurau;60;Standard;JA;;NEIN;NEIN;Donnerstag;13022025;8:00;09:00:00
"Tag vor der
Prüfung";TRV 16;VWL 07;;;;Grundlagen der Industrieökonomik;Markt- und Preistheorie (PO 2022 - 6 LP);Prof. Gretschko;Dr. Lingens;60;Standard;JA;;NEIN;NEIN;Donnerstag;20022025;11:00;12:00:00
"Tag vor der
Prüfung";;VWL 03;;;;Mikroökonomik II;"Markt- und Preistheorie
(PO 2020 und 2018 - 4,5 LP)";Prof. Gretschko;Dr. Lingens;60;Standard;JA;;NEIN;NEIN;Donnerstag;20022025;11:00;12:00:00
"Tag vor der
Prüfung";;;QM 01;;;Mathematik für WI;Mathematik für WI;Dr. Terveer;Prof. Gieseke;90;LPLUS;JA;"Studienleistung
Hausaufgaben
(nur im
Wintersemester
angeboten)";NEIN;NEIN;Mittwoch;5022025;8:00;
"Tag vor der
Prüfung";QRS 01;QRS 01;QM 01;WPM W 13;WPM W 13;"Mathematik und IT (Studiengänge BWL/VWL) bzw.
Wirtschaftsmathematik (Studiengänge WI, E&L, P&W,
Ökonomik)";"Mathematik für
Wirtschaftswissenschaftler";Dr. Terveer;Prof. Gieseke;"60 (BVWL)
bzw 90
(Wirtschafts
mathematik)";LPLUS;JA;"Studienleistung
Hausaufgabe im
Modul
Wirtschaftsmathe
matik";NEIN;NEIN;Mittwoch;5022025;8:00;
"Tag vor der
Prüfung";;;;PM W 01;PM W 01;Mikroökonomische Grundlagen;Mikroökonomie;Prof. Müller;Prof. Apolte;90;Standard;JA;;NEIN;NEIN;Montag;;;
"Tag vor der
Prüfung";VWL 01;VWL 01;;;;Mikroökonomik I;"Mikroökonomik (PO 2020 oder älter - 9
LP)";Prof. Riedel;Prof. Gretschko;120;Standard;JA;;NEIN;NEIN;Montag;17022025;8:00;10:00:00
"Tag vor der
Prüfung";"TRB 13,
BWL 19";"WPB 19.
BWL 19";;WPM W 03;WPM W 03;"Öffentliche Betriebe,
Betriebswirtschaftslehre (interdiszipl. Stg.)";"Öffentliche Betriebe,
Vorlesung zur BWL: Öffentliche Betriebe
(Übung muss zusätzlich angemeldet
werden)";Prof. Dilger;Prof. Müller;90;Standard;JA;;NEIN;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
"Tag vor der
Prüfung";TRV 02;WPV 16;;;;Ausgewählte Kapitel der Mikroökonomik 2;Ökonomik der strategischen Beschaffung;Prof. Gretschko;Dr. Lingens;60;Standard;JA;;NEIN;NEIN;Freitag;7022025;8:00;09:30:00
07.01.2025;;;;PM W 04;PM W 04;Ökonomische Politikanalyse;Ökonomische Politikanalyse;Prof. Apolte;Prof. Müller;90;Standard;JA;;NEIN;NEIN;;;Bitte wenden Sie sich an den Lehrstuhl;
