"Abmeldepha
se";"Modulnumm
er BWL";"Modulnumm
er VWL";"Modulnumm
er WI";"Modulnumm
er PuW,
WuR";"Modulnumm
er Ökön.";Modulbezeichnungen;Prüfung;Prüfer:in;2. Prüfer:in;Dauer (Min.);Klausurtyp;"Klausur
(JA/NEIN)";"Weitere
Modulleistung
(Freitext)";"Anmeldung
vorgezogen
(JA/NEIN)";"Termin
vorgezogen
(JA/NEIN)";Tag;Datum;Beginn;Ende
"Tag vor der
Prüfung";TRB 5;;;;;Financial Restructuring;Financial Restructuring;Prof. Schneider;Prof. Branger;60;Standard;JA;"Fallstudien (max.
12 Seiten)";JA;JA;Samstag;7122024;10:00;11:00:00
"Tag vor der
Prüfung";QRS 01;QRS 01;;;;Mathematik und IT;Finanzmathematik;Dr. Brink;Dr. Terveer;30;Standard;JA;;JA;JA;Donnerstag;19122024;14:30;15:00:00
"Tag vor der
Prüfung";"TRV 14,
BWL 28";"WPV 02,
VWL 16";;WPM W 04;WPM W 04;Fortgeschrittene Statistik;Fortgeschrittene Statistik;Prof. Wilfling;Prof. Trede;90;Standard;JA;;JA;JA;Freitag;20122024;12:00;13:30:00
"Tag vor der
Prüfung";TRB 06;WPB 09;;;;Foundations of Sustainable Finance;Foundations of Sustainable Finance;Prof. Guenster;Prof. Langer;90;Standard;JA;"Fallstudie mit
Präsentation";JA;JA;Montag;16122024;12:00;13:30:00
"Tag vor der
Prüfung";;VWL 07;;WPM W 05;PM W 05;Makroökonomik III;"Geldtheorie/Außenwirtschaft
(Modulabschlussprüfung)";"Prof. Bohl, Prof.
Kempa";"Prof. Kempa, Prof.
Bohl";120;Standard;JA;;JA;JA;Samstag;30112024;10:30;12:30:00
"Tag vor der
Prüfung";VWL 02;VWL 03;;;;Grundlagen der Makroökonomik;"Grundlagen der Makroökonomik
(PO 2022 - 6 LP)";Prof. Apolte;Prof.Müller;90;Standard;JA;;JA;JA;Montag;16122024;10:00;12:00:00
"Tag vor der
Prüfung";VWL 06a;VWL-06a;;;;Grundlagen der Regulierung;Grundlagen der Regulierung für BWLer;Prof. Sieg;Prof. Watzinger;90;Standard;JA;;JA;JA;Samstag;7122024;8:00;09:30:00
"Tag vor der
Prüfung";"TRV 18,
VWL 06b";VWL 06;;WPM W 19;WPM 09;Grundlagen der Wirtschaftspolitik;"Grundlagen der Wirtschaftspolitik
(Grundlagen der Wirtschaftspolitik für
BWLer)";Prof. Watzinger;Prof. Riedel;90;Standard;JA;;JA;JA;Samstag;7122024;10:30;12:00:00
"Tag vor der
Prüfung";;VWL 06;;WPM W 01;WPM W 01;"Angewandte Wirtschaftsforschung: Wirtschaftspolitik
und Regulierung";"Grundlagen der Wirtschaftspolitik und
Regulierung (Modulabschlussprüfung)";Prof. Watzinger;Prof. Sieg;120;Standard;JA;;JA;JA;Samstag;7122024;8:00;10:00:00
"Tag vor der
Prüfung";TRB 07;WPB 10;;;;Grundlagen des Innovationsmanagements;"Grundlagen des
Innovationsmanagements";Prof. Hennig-Thurau;Prof. Krafft;60;Standard;JA;Praktische Übung;JA;JA;Freitag;13122024;14:30;15:30:00
